Study ID,Study Class,Treatment Focus (Study level),Total N Randomized,Outcome Assessment Type,PTSD Outcome Measure,PTSD Outcome Measure Detail,Adjusted Variables in Statistical Analysis,Intervention Groups,NCPTSD Treatment Names,Assessment Point Category,Follow Up Assessment in Weeks,Analysis Type,Effect Size 1 Detail,Effect Size 1 Type,Effect Size 1 Value,Effect Size 1 Type of Variance Measure,Effect Size 1 Variance Value or Lower Bound,Effect Size 1 Variance Upper Bound,Effect Size 1 p value,Effect Size 2 Detail,Effect Size 2 Type,Effect Size 2 Value,Effect Size 2 Type of Variance Measure,Effect Size 2 Variance Value or Lower Bound,Effect Size 2 Variance Upper Bound,Effect Size 2 p value,Score Difference 1 Detail,Score Difference 1 Value,Score Difference 1 Standard Deviation,Score Difference 1 95% CI Lower Bound,Score Difference 1 95% CI Upper Bound,Score Difference 2 Detail,Score Difference 2 Value,Score Difference 2 Standard Deviation,Score Difference 2 95% CI Lower Bound,Score Difference 2 95% CI Upper Bound,Diagnostic Change 1 Effect Size Detail,Diagnostic Change 1 Effect Size Type,Diagnostic Change 1 Effect Size Value,Diagnostic Change 1 Effect Size Type of Variance Measure,Diagnostic Change 1 Effect Size Variance Value or Lower Bound,Diagnostic Change 1 Effect Size Variance Upper Bound,Diagnostic Change 1 Effect Size p value,Clinically Meaningful Response 1 Effect Size Detail,Clinically Meaningful Response 1 Effect Size Type,Clinically Meaningful Response 1 Effect Size Value,Clinically Meaningful Response 1 Effect Size Type of Variance Measure,Clinically Meaningful Response 1 Effect Size Variance Value or Lower Bound,Clinically Meaningful Response 1 Effect Size Variance Upper Bound,Clinically Meaningful Response 1 Effect Size p value,Additional Data Reported,Military Status (Study level),Active Duty Military Percent (Study level),Veteran Percent (Study level),Community Percent (Study level),Female Percent (Study level),Female Percent Detail (Study level),Male Percent (Study level),Trauma Type (Study level),Trauma Detail (Study level),Risk of Bias Rating (Study level),Citation,PTSDPubs ID,Year Added to PTSD-Repository
decker2018_PCL_AvsB_0_Comp,Mixed: Psychotherapy & CIH,PTSD,38,Self report,PCL,PCL-M,None,A vs B,Art therapy + Cognitive Processing Therapy (CPT) vs Supportive psychotherapy + Cognitive Processing Therapy (CPT),End of Treatment,0,Completer,Group x Time interaction,partial eta-squared,0.2,,,,p=0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.0323,,0.9677,Combat-related,,High,"Decker KP, Deaver SP, Abbey V, et al. Quantitatively improved treatment outcomes for combat-associated PTSD with adjunctive art therapy: randomized controlled trial. Art Therapy. 2018;35(4):184-94. doi: 10.1080/07421656.2018.1540822.",,2020
dedert2019_CAPS_AvsB_0_ITT,Psychotherapy,PTSD+SUD,40,Structured Clinical Interview,CAPS,CAPS-5,Age,A vs B,Cognitive Processing Therapy (CPT) + smoking cessation vs Smoking cessation,End of Treatment,0,ITT,,Cohen's d,0.507,95% CI,-0.137,1.147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.825,,0.175,,,High,"Dedert EA, Resick PA, Dennis PA, et al. Pilot trial of a combined cognitive processing therapy and smoking cessation treatment. J Addict Med. 2019 Jul/Aug;13(4):322-30. doi: 10.1097/ADM.0000000000000502. PMID: 30664539.",,2020
dedert2019_CAPS_AvsB_26_ITT,Psychotherapy,PTSD+SUD,40,Structured Clinical Interview,CAPS,CAPS-5,Age,A vs B,Cognitive Processing Therapy (CPT) + smoking cessation vs Smoking cessation,Assessment at 6 to <12 Months,26,ITT,,Cohen's d,0.346,95% CI,-0.294,0.986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.825,,0.175,,,High,"Dedert EA, Resick PA, Dennis PA, et al. Pilot trial of a combined cognitive processing therapy and smoking cessation treatment. J Addict Med. 2019 Jul/Aug;13(4):322-30. doi: 10.1097/ADM.0000000000000502. PMID: 30664539.",,2020
dedert2019_PCL_AvsB_26_ITT,Psychotherapy,PTSD+SUD,40,Self report,PCL,PCL-5,,A vs B,Cognitive Processing Therapy (CPT) + smoking cessation vs Smoking cessation,Assessment at 6 to <12 Months,26,ITT,,Cohen's d,0.306,95% CI,-0.334,0.946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.825,,0.175,,,High,"Dedert EA, Resick PA, Dennis PA, et al. Pilot trial of a combined cognitive processing therapy and smoking cessation treatment. J Addict Med. 2019 Jul/Aug;13(4):322-30. doi: 10.1097/ADM.0000000000000502. PMID: 30664539.",,2020
dekleine2012_CAPS_AvsB_0_Comp,Mixed: Psychotherapy & pharmacotherapy,PTSD,75,Structured Clinical Interview,CAPS,CAPS-1 (Dutch version),Antidepressant use and comorbid depressive or anxiety disorders,A vs B,Prolonged Exposure (PE) + D-cycloserine vs Prolonged Exposure (PE) + placebo,End of Treatment,0,Completer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OR,4.31,95% CI,0.97,19.24,p=0.05,Additional data reported in the study for other definitions of clinically meaningful response,Community,,,1,0.806,,0.194,Mixed,"combat-related, rape/sexual assault, accidents, other (violent nonsexual assault; ""miscellaneous"")",Medium,"de Kleine RA, Hendriks GJ, Kusters WJ, et al. A randomized placebo-controlled trial of D-cycloserine to enhance exposure therapy for posttraumatic stress disorder. Biol Psychiatry. 2012 Jun 1;71(11):962-8. doi: 10.1016/j.biopsych.2012.02.033. PMID: 22480663.",38434,2019
dekleine2012_CAPS_AvsB_0_ITT,Mixed: Psychotherapy & pharmacotherapy,PTSD,75,Structured Clinical Interview,CAPS,CAPS-1 (Dutch version),Antidepressant use and comorbid depressive or anxiety disorders,A vs B,Prolonged Exposure (PE) + D-cycloserine vs Prolonged Exposure (PE) + placebo,End of Treatment,0,ITT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OR,2.83,95% CI,1.05,7.61,p=0.04,Additional data reported in the study for other definitions of clinically meaningful response,Community,,,1,0.806,,0.194,Mixed,"combat-related, rape/sexual assault, accidents, other (violent nonsexual assault; ""miscellaneous"")",Medium,"de Kleine RA, Hendriks GJ, Kusters WJ, et al. A randomized placebo-controlled trial of D-cycloserine to enhance exposure therapy for posttraumatic stress disorder. Biol Psychiatry. 2012 Jun 1;71(11):962-8. doi: 10.1016/j.biopsych.2012.02.033. PMID: 22480663.",38434,2019
dekleine2012_CAPS_AvsB_12_Comp,Mixed: Psychotherapy & pharmacotherapy,PTSD,75,Structured Clinical Interview,CAPS,CAPS-1 (Dutch version),Antidepressant use and comorbid depressive or anxiety disorders,A vs B,Prolonged Exposure (PE) + D-cycloserine vs Prolonged Exposure (PE) + placebo,Assessment at 3 to <6 Months,12,Completer,Group x Time interaction,,,,,,p=0.64,,,,,,,,,,,,,,,,,,,,,,,,,,OR,9.2,95% CI,1.01,84.26,p=0.04,Additional data reported in the study for other definitions of clinically meaningful response,Community,,,1,0.806,,0.194,Mixed,"combat-related, rape/sexual assault, accidents, other (violent nonsexual assault; ""miscellaneous"")",Medium,"de Kleine RA, Hendriks GJ, Kusters WJ, et al. A randomized placebo-controlled trial of D-cycloserine to enhance exposure therapy for posttraumatic stress disorder. Biol Psychiatry. 2012 Jun 1;71(11):962-8. doi: 10.1016/j.biopsych.2012.02.033. PMID: 22480663.",38434,2019
dekleine2012_CAPS_AvsB_12_ITT,Mixed: Psychotherapy & pharmacotherapy,PTSD,75,Structured Clinical Interview,CAPS,CAPS-1 (Dutch version),Antidepressant use and comorbid depressive or anxiety disorders,A vs B,Prolonged Exposure (PE) + D-cycloserine vs Prolonged Exposure (PE) + placebo,Assessment at 3 to <6 Months,12,ITT,Group x Time interaction,,,,,,p=0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p=0.10,Additional data reported in the study for other definitions of clinically meaningful response,Community,,,1,0.806,,0.194,Mixed,"combat-related, rape/sexual assault, accidents, other (violent nonsexual assault; ""miscellaneous"")",Medium,"de Kleine RA, Hendriks GJ, Kusters WJ, et al. A randomized placebo-controlled trial of D-cycloserine to enhance exposure therapy for posttraumatic stress disorder. Biol Psychiatry. 2012 Jun 1;71(11):962-8. doi: 10.1016/j.biopsych.2012.02.033. PMID: 22480663.",38434,2019
dekleine2012_PSS-SR_AvsB_12_Comp,Mixed: Psychotherapy & pharmacotherapy,PTSD,75,Self report,PSS-SR,PSS-SR (Dutch version),,A vs B,Prolonged Exposure (PE) + D-cycloserine vs Prolonged Exposure (PE) + placebo,Assessment at 3 to <6 Months,12,Completer,Group x Time interaction,,,,,,p=0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,0.806,,0.194,Mixed,"combat-related, rape/sexual assault, accidents, other (violent nonsexual assault; ""miscellaneous"")",Medium,"de Kleine RA, Hendriks GJ, Kusters WJ, et al. A randomized placebo-controlled trial of D-cycloserine to enhance exposure therapy for posttraumatic stress disorder. Biol Psychiatry. 2012 Jun 1;71(11):962-8. doi: 10.1016/j.biopsych.2012.02.033. PMID: 22480663.",38434,2019
dekleine2012_PSS-SR_AvsB_12_ITT,Mixed: Psychotherapy & pharmacotherapy,PTSD,75,Self report,PSS-SR,PSS-SR (Dutch version),,A vs B,Prolonged Exposure (PE) + D-cycloserine vs Prolonged Exposure (PE) + placebo,Assessment at 3 to <6 Months,12,ITT,Group x Time interaction,,,,,,p=0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,0.806,,0.194,Mixed,"combat-related, rape/sexual assault, accidents, other (violent nonsexual assault; ""miscellaneous"")",Medium,"de Kleine RA, Hendriks GJ, Kusters WJ, et al. A randomized placebo-controlled trial of D-cycloserine to enhance exposure therapy for posttraumatic stress disorder. Biol Psychiatry. 2012 Jun 1;71(11):962-8. doi: 10.1016/j.biopsych.2012.02.033. PMID: 22480663.",38434,2019
devilly1998_M-PTSD_AvsB_0_Comp,Psychotherapy,PTSD,51,Self report,M-PTSD,M-PTSD,,A vs B,Eye Movement Desensitization and Reprocessing (EMDR) vs Eye Movement Desensitization and Reprocessing (EMDR),End of Treatment,0,Completer,,,,,,,p=NS,Treatment x Time interaction,Cohen's d,0.5,,,,p=NS,,,,,,,,,,,,,,,,,,,,,,,,p=0.41,,Veteran,0,1,0,0,,1,Combat-related,,High,"Devilly GJ, Spence SH, Rapee RM. Statistical and reliable change with eye movement desensitization and reprocessing: treating trauma within a veteran population. Behav. Ther. 1998 Summer;29(3):435-55. doi: 10.1016/S0005-7894(98)80042-7.",20740,2019
devilly1998_M-PTSD_AvsB_26_Comp,Psychotherapy,PTSD,51,Self report,M-PTSD,M-PTSD,,A vs B,Eye Movement Desensitization and Reprocessing (EMDR) vs Eye Movement Desensitization and Reprocessing (EMDR),Assessment at 6 to <12 Months,26,Completer,,Cohen's d,0.15,,,,p=NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p=NS,,Veteran,0,1,0,0,,1,Combat-related,,High,"Devilly GJ, Spence SH, Rapee RM. Statistical and reliable change with eye movement desensitization and reprocessing: treating trauma within a veteran population. Behav. Ther. 1998 Summer;29(3):435-55. doi: 10.1016/S0005-7894(98)80042-7.",20740,2019
difede2014_CAPS_AvsB_0_ITT,Mixed: Psychotherapy & pharmacotherapy,PTSD,25,Structured Clinical Interview,CAPS,CAPS,Pretreatment scores,A vs B,Virtual reality exposure therapy (VRET) + D-cycloserine vs Virtual reality exposure therapy (VRET) + placebo,End of Treatment,0,ITT,,"""Hodges g""",0.68,,,,p=0.131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,0.24,,0.76,Terrorism/political violence/forced displacement,,Medium,"Difede J, Cukor J, Wyka KE, et al. D-cycloserine augmentation of exposure therapy for post-traumatic stress disorder: a pilot randomized clinical trial. Neuropsychopharmacology. 2014 Apr;39(5):1052-108. doi: 10.1038/npp.2013.317. PMID: 24217129.",41641,2019
difede2014_CAPS_AvsB_26_ITT,Mixed: Psychotherapy & pharmacotherapy,PTSD,25,Structured Clinical Interview,CAPS,CAPS,Pretreatment scores,A vs B,Virtual reality exposure therapy (VRET) + D-cycloserine vs Virtual reality exposure therapy (VRET) + placebo,Assessment at 6 to <12 Months,26,ITT,,"""Hodges g""",1.13,,,,p=0.010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,0.24,,0.76,Terrorism/political violence/forced displacement,,Medium,"Difede J, Cukor J, Wyka KE, et al. D-cycloserine augmentation of exposure therapy for post-traumatic stress disorder: a pilot randomized clinical trial. Neuropsychopharmacology. 2014 Apr;39(5):1052-108. doi: 10.1038/npp.2013.317. PMID: 24217129.",41641,2019
difede2014_PCL_AvsB_0_ITT,Mixed: Psychotherapy & pharmacotherapy,PTSD,25,Self report,PCL,PCL,,A vs B,Virtual reality exposure therapy (VRET) + D-cycloserine vs Virtual reality exposure therapy (VRET) + placebo,End of Treatment,0,ITT,,"""Hodges g""",0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,0.24,,0.76,Terrorism/political violence/forced displacement,,Medium,"Difede J, Cukor J, Wyka KE, et al. D-cycloserine augmentation of exposure therapy for post-traumatic stress disorder: a pilot randomized clinical trial. Neuropsychopharmacology. 2014 Apr;39(5):1052-108. doi: 10.1038/npp.2013.317. PMID: 24217129.",41641,2019
difede2014_PCL_AvsB_26_ITT,Mixed: Psychotherapy & pharmacotherapy,PTSD,25,Self report,PCL,PCL,,A vs B,Virtual reality exposure therapy (VRET) + D-cycloserine vs Virtual reality exposure therapy (VRET) + placebo,Assessment at 6 to <12 Months,26,ITT,,"""Hodges g""",1.19,,,,p=0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,0.24,,0.76,Terrorism/political violence/forced displacement,,Medium,"Difede J, Cukor J, Wyka KE, et al. D-cycloserine augmentation of exposure therapy for post-traumatic stress disorder: a pilot randomized clinical trial. Neuropsychopharmacology. 2014 Apr;39(5):1052-108. doi: 10.1038/npp.2013.317. PMID: 24217129.",41641,2019
dorrepaal2012_DTS_AvsB_0_Comp,Psychotherapy,PTSD,71,Self report,DTS,DTS,,A vs B,Cognitive behavioral therapy (CBT) without a trauma focus vs Treatment as usual (TAU),End of Treatment,0,Completer,,,,,,,p=0.10,,,,,,,,Change score mean difference,9.8,,-3.1,22.7,,,,,,,,,,,,,,relative risk,2.3,95% CI,1.1,4.8,p=0.02,,Community,,,1,1,,0,Mixed,"child sexual abuse, child physical abuse",High,"Dorrepaal E, Thomaes K, Smit JH, et al. Stabilizing group treatment for complex posttraumatic stress disorder related to child abuse based on psychoeducation and cognitive behavioural therapy: a multisite randomized controlled trial. Psychother Psychosom. 2012;81(4):217-25. doi: 10.1159/000335044. PMID: 22585094.",39141,2019
dorrepaal2012_DTS_AvsB_0_ITT,Psychotherapy,PTSD,71,Self report,DTS,DTS,,A vs B,Cognitive behavioral therapy (CBT) without a trauma focus vs Treatment as usual (TAU),End of Treatment,0,ITT,,,,,,,p=0.22,,,,,,,,Change score mean difference,6.9,,-4.4,18.5,,,,,,,,,,,,,,relative risk,2.1,95% CI,1,4.4,p=0.03,,Community,,,1,1,,0,Mixed,"child sexual abuse, child physical abuse",High,"Dorrepaal E, Thomaes K, Smit JH, et al. Stabilizing group treatment for complex posttraumatic stress disorder related to child abuse based on psychoeducation and cognitive behavioural therapy: a multisite randomized controlled trial. Psychother Psychosom. 2012;81(4):217-25. doi: 10.1159/000335044. PMID: 22585094.",39141,2019
dowd2020_CAPS_AvsB_0_ITT,Pharmacotherapy,PTSD,25,Structured Clinical Interview,CAPS,CAPS,,A vs B,Eszopiclone vs Placebo,End of Treatment,0,ITT,,,,,,,p=0.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mixed,,0.04,0.96,0.4,,0.6,Mixed,Rape/sexual assault; Accidents; Illness/medical procedure; Community/school violence; Natural or manmade disasters; Other (observed violence to or death of a loved one),High,"Dowd SM, Zalta AK, Burgess HJ, et al. Double-blind randomized controlled study of the efficacy, safety and tolerability of eszopiclone vs placebo for the treatment of patients with post-traumatic stress disorder and insomnia. World j. 2020 Mar 19;10(3):21-8. doi: https://dx.doi.org/10.5498/wjp.v10.i3.21. PMID: 32257848.",,2020
dowd2020_SPRINT_AvsB_0_ITT,Pharmacotherapy,PTSD,25,Self report,SPRINT,SPRINT,,A vs B,Eszopiclone vs Placebo,End of Treatment,0,ITT,,,,,,,p=0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mixed,,0.04,0.96,0.4,,0.6,Mixed,Rape/sexual assault; Accidents; Illness/medical procedure; Community/school violence; Natural or manmade disasters; Other (observed violence to or death of a loved one),High,"Dowd SM, Zalta AK, Burgess HJ, et al. Double-blind randomized controlled study of the efficacy, safety and tolerability of eszopiclone vs placebo for the treatment of patients with post-traumatic stress disorder and insomnia. World j. 2020 Mar 19;10(3):21-8. doi: https://dx.doi.org/10.5498/wjp.v10.i3.21. PMID: 32257848.",,2020
duberstein2018_MPSS_AvsB_0_ITT,Psychotherapy,PTSD,161,Self report,MPSS,MPSS,"Antidepressant medication prescribed, PTSD, borderline personality disorder, other anxiety disorder, history of substance abuse/dependence, referral source, and interim assessments.",A vs B,Interpersonal Psychotherapy (IPT) vs Psychotherapy as usual,End of Treatment,0,ITT,,Cohen's d,0.3,,,,p=0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p=NS,,Community,0,0,1,1,,0,Child sexual abuse,,Medium,"Duberstein PR, Ward EA, Chaudron LH, et al. Effectiveness of interpersonal psychotherapy-trauma for depressed women with childhood abuse histories. J Consult Clin Psychol. 2018 Oct;86(10):868-78. doi: 10.1037/ccp0000335. PMID: 30265045.",51365,2020
duberstein2018_MPSS_AvsB_52_ITT,Psychotherapy,PTSD,161,Self report,MPSS,MPSS,"Antidepressant medication prescribed, PTSD, borderline personality disorder, other anxiety disorder, history of substance abuse/dependence, referral source, and interim assessments.",A vs B,Interpersonal Psychotherapy (IPT) vs Psychotherapy as usual,Assessment at ≥12 Months,52,ITT,,,,,,,p=0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,0,0,1,1,,0,Child sexual abuse,,Medium,"Duberstein PR, Ward EA, Chaudron LH, et al. Effectiveness of interpersonal psychotherapy-trauma for depressed women with childhood abuse histories. J Consult Clin Psychol. 2018 Oct;86(10):868-78. doi: 10.1037/ccp0000335. PMID: 30265045.",51365,2020
duffy2007_PDS_AvsB_0_Comp,Psychotherapy,PTSD,58,Self report,PDS,PDS,Baseline PDS score,A vs B,Cognitive Therapy for PTSD (CT-PTSD) vs Waitlist,End of Treatment,0,Completer,Adjusted mean difference,,16.9,95% CI,10.9,23,p<0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,0.3966,,0.6034,Mixed,"terrorism/political violence/forced displacement, community/school violence, accidents",Medium,"Duffy M, Gillespie K, Clark DM. Post-traumatic stress disorder in the context of terrorism and other civil conflict in Northern Ireland: randomised controlled trial. BMJ. 2007 Jun 2;334(7604):1147-50. doi: 10.1136/bmj.39021.846852.BE. PMID: 17495988.",29736,2019
duffy2007_PDS_AvsB_0_ITT,Psychotherapy,PTSD,58,Self report,PDS,PDS,Baseline PDS score,A vs B,Cognitive Therapy for PTSD (CT-PTSD) vs Waitlist,End of Treatment,0,ITT,Adjusted mean difference,,9.6,95% CI,3.6,15.6,p=0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,0.3966,,0.6034,Mixed,"terrorism/political violence/forced displacement, community/school violence, accidents",Medium,"Duffy M, Gillespie K, Clark DM. Post-traumatic stress disorder in the context of terrorism and other civil conflict in Northern Ireland: randomised controlled trial. BMJ. 2007 Jun 2;334(7604):1147-50. doi: 10.1136/bmj.39021.846852.BE. PMID: 17495988.",29736,2019
dunlop2017_PDS_AvsB_0_Comp,Pharmacotherapy,PTSD,128,Self report,PDS,PDS,,A vs B,GSK561679 investigational drug vs Placebo,End of Treatment,0,Completer,Group x Time interaction,,,,,,p>0.40 (NS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,Mixed,"combat-related, other (unspecified child abuse, unspecified)",Medium,"Dunlop BW, Binder EB, Iosifescu D, et al. Corticotropin-releasing factor receptor 1 antagonism is ineffective for women with posttraumatic stress disorder. Biol Psychiatry. 2017 Dec;82(12):866-74. doi: 10.1016/j.biopsych.2017.06.024. PMID: 28793974",49315,2019
dunlop2017_PDS_AvsB_0_ITT,Pharmacotherapy,PTSD,128,Self report,PDS,PDS,,A vs B,GSK561679 investigational drug vs Placebo,End of Treatment,0,ITT,Differential change over time,,,,,,p≤0.477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p=0.305,Additional data reported in the study for other definitions of clinically meaningful response,,,,,1,,0,Mixed,"combat-related, other (unspecified child abuse, unspecified)",Medium,"Dunlop BW, Binder EB, Iosifescu D, et al. Corticotropin-releasing factor receptor 1 antagonism is ineffective for women with posttraumatic stress disorder. Biol Psychiatry. 2017 Dec;82(12):866-74. doi: 10.1016/j.biopsych.2017.06.024. PMID: 28793974",49315,2019
dunlop2017_PSS-SR_AvsB_0_Comp,Pharmacotherapy,PTSD,128,Self report,PSS-SR,PSS-SR,,A vs B,GSK561679 investigational drug vs Placebo,End of Treatment,0,Completer,Group x Time interaction,,,,,,p>0.40 (NS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,Mixed,"combat-related, other (unspecified child abuse, unspecified)",Medium,"Dunlop BW, Binder EB, Iosifescu D, et al. Corticotropin-releasing factor receptor 1 antagonism is ineffective for women with posttraumatic stress disorder. Biol Psychiatry. 2017 Dec;82(12):866-74. doi: 10.1016/j.biopsych.2017.06.024. PMID: 28793974",49315,2019
dunlop2017_PSS-SR_AvsB_0_ITT,Pharmacotherapy,PTSD,128,Self report,PSS-SR,PSS-SR,,A vs B,GSK561679 investigational drug vs Placebo,End of Treatment,0,ITT,Treatment x Time interaction,,,,,,p=0.983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,Mixed,"combat-related, other (unspecified child abuse, unspecified)",Medium,"Dunlop BW, Binder EB, Iosifescu D, et al. Corticotropin-releasing factor receptor 1 antagonism is ineffective for women with posttraumatic stress disorder. Biol Psychiatry. 2017 Dec;82(12):866-74. doi: 10.1016/j.biopsych.2017.06.024. PMID: 28793974",49315,2019
dunne2012_IES_AvsB_0_ITT,Psychotherapy,PTSD,26,Self report,IES,IES-R,,A vs B,Trauma-focused cognitive behavioral therapy (TF-CBT) vs Waitlist,End of Treatment,0,ITT,Treatment x Time interaction,,,,,,p<0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,0.5,,0.5,Accidents,,High,"Dunne RL, Kenardy JA, Sterling M. A randomized controlled trial of cognitive-behavioral therapy for the treatment of PTSD in the context of chronic whiplash. Clin J Pain. 2012 Nov-Dec;28(9):755-65. doi: 10.1097/AJP.0b013e318243e16b. PMID: 22209798.",39572,2019
dunne2012_PDS_AvsB_0_ITT,Psychotherapy,PTSD,26,Self report,PDS,PDS,,A vs B,Trauma-focused cognitive behavioral therapy (TF-CBT) vs Waitlist,End of Treatment,0,ITT,Treatment x Time interaction,,,,,,p<0.001,,,,,,,,,,,,,,,,,,,partial eta-squared,0.57,,,,p=0.004,,,,,,,p=0.03,,Community,,,1,0.5,,0.5,Accidents,,High,"Dunne RL, Kenardy JA, Sterling M. A randomized controlled trial of cognitive-behavioral therapy for the treatment of PTSD in the context of chronic whiplash. Clin J Pain. 2012 Nov-Dec;28(9):755-65. doi: 10.1097/AJP.0b013e318243e16b. PMID: 22209798.",39572,2019
echeburua1996_SS-PTSD_AvsB_0_ITT,Mixed: Psychotherapy & CIH,PTSD,20,Self report,SS-PTSD,Scale of Severity of Posttraumatic Stress Disorder Symptoms,,A vs B,Cognitive restructuring and coping-skills training vs Progressive muscle relaxation (PMR),End of Treatment,0,ITT,,,,,,,0.05<p<0.10,,,,,,,,,,,,,,,,,,,,,,,,p=NS,,,,,,,,,Community,,,1,1,,0,Rape/sexual assault,,High,"Echeburua E, de Corral P, Sarasua B, et al. Treatment of acute posttraumatic stress disorder in rape victims: an experimental study. J Anxiety Disord. 1996 May-Jun;10(3):185-99. doi: 10.1016/0887-6185(96)89842-2.",07521,2019
echeburua1996_SS-PTSD_AvsB_26_ITT,Mixed: Psychotherapy & CIH,PTSD,20,Self report,SS-PTSD,Scale of Severity of Posttraumatic Stress Disorder Symptoms,,A vs B,Cognitive restructuring and coping-skills training vs Progressive muscle relaxation (PMR),Assessment at 6 to <12 Months,26,ITT,,,,,,,0.05<p<0.10,,,,,,,,,,,,,,,,,,,,,,,,p=NS,,,,,,,,,Community,,,1,1,,0,Rape/sexual assault,,High,"Echeburua E, de Corral P, Sarasua B, et al. Treatment of acute posttraumatic stress disorder in rape victims: an experimental study. J Anxiety Disord. 1996 May-Jun;10(3):185-99. doi: 10.1016/0887-6185(96)89842-2.",07521,2019
echeburua1996_SS-PTSD_AvsB_4_ITT,Mixed: Psychotherapy & CIH,PTSD,20,Self report,SS-PTSD,Scale of Severity of Posttraumatic Stress Disorder Symptoms,,A vs B,Cognitive restructuring and coping-skills training vs Progressive muscle relaxation (PMR),Assessment at <3 Months,4,ITT,,,,,,,0.05<p<0.10,,,,,,,,,,,,,,,,,,,,,,,,p=NS,,,,,,,,,Community,,,1,1,,0,Rape/sexual assault,,High,"Echeburua E, de Corral P, Sarasua B, et al. Treatment of acute posttraumatic stress disorder in rape victims: an experimental study. J Anxiety Disord. 1996 May-Jun;10(3):185-99. doi: 10.1016/0887-6185(96)89842-2.",07521,2019
